"https://factoriolab.github.io/spa/list?o=metallurgic-science-pack*60&e=*speed-module-2&r=molten-copper-from-lava**0&v=11"
Item,Items,Surplus,Inputs,Outputs,Targets,Belts,Belt,Wagons,Wagon,Recipe,Machines,Machine,Modules,Beacons,Power,Pollution
metallurgic-science-pack,=60,,"tungsten-carbide:1,tungsten-plate:1,molten-copper:1","metallurgic-science-pack:1","",=1/15,transport-belt,=3/400,cargo-wagon,metallurgic-science-pack,=5/3,foundry,"4 module","0 beacon (2 speed-module-3)",=13000/3,=10
tungsten-carbide,=120,,"tungsten-ore:9/17,sulfuric-acid:1,carbon:0.4","tungsten-carbide:1","metallurgic-science-pack:1",=2/15,transport-belt,=0.06,cargo-wagon,tungsten-carbide,=8/3,assembling-machine-2,"2 module","0 beacon (2 speed-module-3)",=415,=8
sulfuric-acid,=1200,,"sulfur:1,iron-plate:1,water:1","sulfuric-acid:1","tungsten-carbide:1",=1/60,pump,=3/125,fluid-wagon,sulfuric-acid,=0.4,chemical-plant,"3 module","0 beacon (2 speed-module-3)",=91,=1.6
iron-plate,=24,,"molten-iron:3/13","iron-plate:1","sulfuric-acid:1",=2/75,transport-belt,=3/500,cargo-wagon,casting-iron,=8/75,foundry,"4 module","0 beacon (2 speed-module-3)",=350,=0.64
sulfur,=120,,,,"sulfuric-acid:1",=2/15,transport-belt,=0.06,cargo-wagon,,,,,,,
water,=2400,,,"water:1","sulfuric-acid:1",=1/30,pump,=6/125,fluid-wagon,water,=1/30,offshore-pump,,,,
carbon,=120,=180,"carbonic-asteroid-chunk:1","carbon:1,sulfur:1,carbonic-asteroid-chunk:0.05","tungsten-carbide:0.4",=1/3,transport-belt,=0.15,cargo-wagon,advanced-carbonic-asteroid-crushing,=5,crusher,"2 module","0 beacon (2 speed-module-3)",=2790,=5
carbonic-asteroid-chunk,=60,,,,"advanced-carbonic-asteroid-crushing:1",=1/15,transport-belt,=1.5,cargo-wagon,,,,,,,
tungsten-plate,=80,,"tungsten-ore:8/17,molten-iron:10/13","tungsten-plate:1","metallurgic-science-pack:1",=4/45,transport-belt,=0.04,cargo-wagon,tungsten-plate,=20/9,foundry,"4 module","0 beacon (2 speed-module-3)",=52250/9,=40/3
molten-copper,=8000,,"lava:150/163,calcite:150/163","molten-copper:1,stone:225/238","metallurgic-science-pack:1",=1/9,pump,=0.16,fluid-wagon,molten-copper-from-lava,=64/99,foundry,"4 speed-module-2","0 beacon (2 speed-module-3)",=552250/99,=2176/165
stone,=0,=7616/15,,,,=1904/3375,transport-belt,=476/1875,cargo-wagon,,,,,,,
molten-iron,=2080/3,,"lava:13/163,calcite:13/163","molten-iron:1,stone:13/238","tungsten-plate:10/13,casting-iron:3/13",=13/1350,pump,=26/1875,fluid-wagon,molten-iron-from-lava,=416/3375,foundry,"4 module","0 beacon (2 speed-module-3)",=10570/27,=832/1125
tungsten-ore,=1360/3,,,"tungsten-ore:1","tungsten-carbide:9/17,tungsten-plate:8/17",=68/135,transport-belt,=17/75,cargo-wagon,tungsten-ore,=136/9,big-mining-drill,"4 module","0 beacon (2 speed-module-3)",=13600/3,=5440/9
calcite,=5216/225,,"oxide-asteroid-chunk:6520/13151","ice:1,calcite:1,oxide-asteroid-chunk:326/13151","molten-copper-from-lava:150/163,molten-iron-from-lava:13/163",=1304/50625,transport-belt,=326/28125,cargo-wagon,advanced-oxide-asteroid-crushing,=652/675,crusher,"2 module","0 beacon (2 speed-module-3)",=539.6,=652/675
oxide-asteroid-chunk,=2608/225,=13262/1125,,"metallic-asteroid-chunk:1,carbonic-asteroid-chunk:0.95,oxide-asteroid-chunk:12825/13151","advanced-oxide-asteroid-crushing:6520/13151",=13151/506250,transport-belt,=13151/22500,cargo-wagon,solar-system-edge,=1.9,asteroid-collector,,,,
metallic-asteroid-chunk,=0,=34.2,,,,=19/500,transport-belt,=171/200,cargo-wagon,,,,,,,
lava,=104320/9,,,"lava:1","molten-copper-from-lava:150/163,molten-iron-from-lava:13/163",=326/2025,pump,=1304/5625,fluid-wagon,lava,=326/2025,offshore-pump,,,,
ice,=0,=2608/75,,,,=652/16875,transport-belt,=163/9375,cargo-wagon,,,,,,,
